Speaker1,Speaker2
that was something . i m ed crane .,i know who you are mr crane .
did you hear what i said ?,did you hear what i said ? ! !
you re not seeing me ?,no .
yeah .,can i tell you something ?
halfdan the black .,but erik . . .
mmmmmmmph .,best over . . .
that s the key question .,yeah .
tell me that s not the same guy .,hey . . . dick tracy .
mmmerrick ., say mmmerrick . 
you play games with me and you re through,i am ? may i go now ?
great . hi . i m erica .,oh erica this is my friend jeff .
now now jack that just ain t right .,you just stay out of trouble homer !
in the kitchen .,i ll make some for us .
wait ,what you have to do is fight !
why do you say that ?,because i already tried once .
what d you come back for ? !,why d you stay behind ? !
hmm ?,you don t like eve do you ?
goodnight then .,goodnight .
what the hell are you doing here ?,question is what are you doing here ?
do you have any old indian records ?,indian records ?
that door is a safely hazard .,not at all .
everything breaks at once .,isn t that always the way ?
hello .,hi it s me . . .
i m trying to get you a girlfriend .,well yeah thank you but 
what are you two talking about ?,got a shovel ?
i m her cousin .,tell the cops .
four should do it .,they will want a lot of money .
and ?,and think about what you ve done .
you like it ?,yes .
i don t mean braze .,i didn t say braze .
maybe you should mind your own business .,get up !
i thought i was here to meet women .,not that one !
stop it stop it stop it .,i m sorry .
some people .,what s daddy doing ?
i wouldn t say anything i would act .,call the police ?
but you know how to drive ?,sure .
nobody knows she s here .,good god . . .good god . . .
i think we d better have a look ., . . . have a look .
jack are you really dead ?,what do you think ?
what are you thinking ?,that i want you to take me home .
hello .,hello .
what exactly did you want to discuss pat ?,you . what you re doing 
it s so good to see you again .,where s plissken ?
how do you feel dejesus ?,okay .
fuck you . we shoulda taken his car .,what s wrong with this one ?
i ll say it .,ok . go ahead .
not going jack ?,i have to . things to see to .
i know .,i can t believe this is happening .
what the fuck !,i ll pay for it .
let me get the light .,no .
that all depends on you .,why are you doing this ?
what did he want ?,nothing .
the taxi life you mean .,yeah .
how s your hip ?,oh just so .
what else ?,nothing else .
it ll be ready .,you re my man pete .
sure jimmy .,what does j .f .k . stand for ?
 continued ,i just want this over with .
all night ?,all night .
why didn t his niece slap your face ?,she did .
there s what they re waiting on !,they ll have to come right past us .
nothing .,don t look like nothing .
what s that about ?,forget it .
visitors to the convent .,nothing .
i can get you new evidence next week .,no !
peace ? !,we cannot defeat this 
how did she pay you ?,what ?
linnea ?,yes .
probably lookin for sparrin partners ., . . .i said that before .
jake what is that ?,what does it look like ?
yeah what s to stop him ?,i know . i know .
oh i m in her acting class .,oh you re an actress .
pornos ?,yeah . give ya a boner .
you getting out too ?,yeah thanks it s ok .
no .,you leave me no alternative .
indefinitely .,how long is that ?
right .,that s so cool .
sleep okay ?,yeah . you ?
wanna kiss me jim ?,yes i do .
well that s a funny thing to say .,you keep asking me why i m here .
wha .,call the medics dude .
back off burt . . . !,well who put you two in charge ?
you are female ?,as you see .
do you really want this dick ?,this . above all .
yes swana .,am i interrupting ?
what s wrong with your eyes ?,a girl can never wear enough eye shadow .
i can t swim .,i gathered that .
i mean unless ace made his bet .,that s enough now !
yeah . well you re okay ?,yeah thanks for keeping an eye out .
big on the musical comedy huh ?,sounds like you ve never seen her eddie .
no we never did that,oh 
apparently she was very disappointed .,boy . boy oh boy .
you were altogether asleep . you were dreaming .,no . you were there .
she okay ?,i hope so .
floating to catalina .,what ?
sounds perfect ? what do i owe you ?,i wasn t helping you for money .
bingo .,you found her .
vegas .,vegas .
you know him ?,heard of him .
could i speak to you in private ?,uh yes . of course . after you .
what s that ? a word ?,what do you think ?
i ve lost half a pound since tuesday .,good .
isn t that nice . since when ?,since he moved to l .a .
i really want that watch .,this isn t right .
so how was the ride kids ?,great .
jaeger ?,what ! ?
whatever .,i m sorry .
he was upset with moving i believe .,is that all he said ?
shit !,i have a place for that .
come on holly !,leave me just leave me alone josh .
hey . . .,shut up .
his grace is very angry with you .,what do you mean ?
there s a different between want and,not for me .
a stereo type alarm system ?,take a look .
oh a god complex,stay away from the cop .
and . it s wrong .,and who says what is wrong .
for garbage ?,for dead bodies .
well i guess . . .,yeah . . . bedtime .
quick drop . in and out .,where s ricky ?
absolutely .,had a little help ?
just them ?,yes ma am .
you say the porters are waiting for us ?,yes .
just one moment .,thank you .
officer i killed those people last night .,you did did you ?
yeah . down there .,shit .
let s just kill them .,what ?
then you also understand that you must die .,no .
let me get a shot of it .,sit down !
viktor do you realize you always do that ?,do what ?
open up the trunk .,yes sir .
y know uncle frank . . .,yeah jimmy ?
but i still want one .,yes . . . .
no sweat . only do me a favor ?,sure .
we ll speak soon ., night .
how much did ya lose ?,all of it .
what about that guy this morning ?,you mean shelly ?
nice night out . . .,hm . . .
the answer is no .,mr . soze will be most 
me me me !,the answer is george jefferson .
i didn t know her .,and nobody else saw her in the water ?
oh . fine .,get anything ?
but nothing is happening .,yes but very well .
do you hear it ? right there .,hear what ?
has done what ?,she s gone leon .
this afternoon .,i saw everything .
is that his name ?,yes . peter warne .
i hate my sister .,why ?
yes basil ?,be careful !
like when ?,like right after the ceremony .
cow !,pig !
don t be silly .,joking .
promise me she ll have her home .,she does .
it s a surprise .,i don t believe you .
what ?,abbott wants to talk .
help you out ?,yeah just ten or fifteen dollars maybe .
half .,what else then ?
what do you know about trilogies ?,you mean like movie trilogies ?
yes .,my doctor lady ?
gosh what was everybody talking about ?,don t ask me .
so what do you want with me jimmy ?,want to look after you .
when does he post bail ?,two hours tops .
goddamnit .,they just said they wanted time .
i think one of em s glass .,which one right or left ?
nothing . i just prefer the other one .,bullshit .
i beg your pardon ?,i said ask your wife .
i do not .,lighten up .
huh ?,you met the gift .
no .,you re calling me on is phone ?
in the arctic ice .,that way . i can feel the cold .
a wonderful country . . .,you know it ?
mother ?, h shit !
no .,mr . kramer there s 
what ?,find a lawyer ?
that s great .,so how re you doing ?
how you holding up wade ?,i m fine fine .
sounds like a french word what is it ?,it s a romantic and tragic drink .
i m calling it three .,we re half a million off .
i come from a big family .,meant no offense .
i had to .,thanks .
how s your business jake ?,pretty good .
oh m sieu laval . . .,yes madame colet ?
what does he mean too correct ?,i don t know .
but you put yourself on the circuit !,i thought i had to do something .
did you change your hair ?,no .
if i may be so bold . . .,for the gods spit it out !
where s ricky ?,ricky s taken care of .
i know first aid !,well you had better ! !
very .,honest ?
you know where she is ?,no i don t .
what are you doing ?,i was looking for you .
no .,but you put yourself on the circuit !
you mean they kidnapped her ?,yes two men and they had guns .
stop the damn car .,no way .
mike cameron how you doing ?,what ?
you went to my high school ?,no .
hmmm ?,uh uh .
but where ?,i have to return some videotapes .
philip swann ?,you know of him ?
no .,you didn t get a deer ?
i ll meet you down there .,take the gun .
what do you want from me cotton ?,you could start with an apology .
no .,do you like it at your home franklin ?
 we gotta top the times , i know i know 
no .,do i sit or stand ?
thanks uh lilly .,don t mention it .
no no . i on holiday .,some spot you pick .
 who s they ? ,the the officers .
this way mister mcmurphy .,yes ma am . . .
how s your love life midge ?,that s following a train of thought .
i got the good chocolate alvy .,yeah where is the spider ?
go !,okay .
what ?,there s a bucket . under the table .
melvin i d rather not .,what s that got to do with it ?
it s not gonna be his you idiot .,why not ?
let s go jake wake up !,huh ? whadda ya mean get up ?
cab one radiation readings ?,neutron counter s not showing very much .
your wife ?,yeah . see ?
there s nothing in there about ruby .,i be sure to mention that to him .
yeah ?,i think we need to eat .
to major burns tent . yes sir .,stop that o rielly !
i am not going to cliff s trailer .,well where are you going ?
come on dignan ., don t come on dignan me . 
hello robert .,the contract ?
that s an excellent idea .,oh hello mother !
we were just looking .,i know about you .
is it one of kinnear s films ?,yeah .
yeah . well mostly .,i thought i was fucked up .
position bird of prey ?,closing .
for what ?,you saved my life .
i can only write on a manual .,i know the feeling .
is there a crowd in the street ?,no sir .
i don t trust harry to do it .,i would . but my suit 
yeah . maybe . i dunno .,do you think i m strange ?
i m still in the chair lieutenant .,aye sir .
what s happened ? !,macready that you ?
i hope you re happy .,captain .
i m affraid you might hurt yourself regan .,i m not regan .
loading a gun .,what for ?
i think so .,i happen to know so .
check at six minutes .,arm yourself bomb .
i mean you re really back .,for good .
oh my god . . .,what is it ?
this is a bad day for me .,i understand . christmas family and all that 
come on phil don t jerk me around .,okay okay stand over there . . . .
no . a little sugar though .,we ve only got honey .
during the road test . . .,yeah ?
what is he doing ?,he s beginning to believe .
what the hell was that ?,sorry .
i love you miss kubelik .,seven queen .
you mean after he lost your son .,it was nobody s fault .
 it s a wonderful life ? ,or the bijou . either one .
i m afraid i must mr . dickson .,why pick on him ?
my baby !,what you named it already ?
yeah .,we offer . . .
i don t wanta rob you ma am .,go ahead bert says take it .
i m looking for moses seradungu s room .,what is his room number ?
whose rooms are those ?,your mother s .
i do she s real funny .,he likes her better than me .
i can see why .,well what d you think ?
you just going to sit there ?,yes .
now is your shit together ?,forever together .
spock .,yes captain ?
i ll play your silly game .,why do they go to war ?
laura i think i just killed somebody .,are you sure ?
guess i should n a done it .,just sleep now mom .
yes .,were you recently promoted ?
sure was .,do you believe him ?
this is . . .,we know each other .
we can t . we re going back .,to what ?
no i can t say that i have .,oh .
you mean like in the steam room ?,that s not fair !
what aliens ?,you tell me .
you do .,yeah right .
classes ?,good .
no . i feel more like yodeling .,yodeling ?
i believe the operation is over .,the charge is murder .
what ?,good luck .
is it better ?,is what better ? better than what ?
okay .,if not for me at least for amy .
what the hell you doin ?,shut your ass up and grab the wall !
me ?,you will always !
well what a lucky break for me .,perhaps lucky for both of us .
did the leads come in yet ?,no .
i didn t know you cared .,come on .
the big job .,there is no big job .
and dennings you read how he died ?,yeah a fall .
let them fight .,let them fight .
just relax .,is it the plane ?
why not ?,i ve told you .
and white .,easy black boy .
oh hello .,mommy this is faith .
i sincerely doubt it .,give me the fucking letter .
i ll be right there .,where ?
have they found our friend ?,friend ?
you sick ?,a little i think . . . darlin ?
all dead except one sir .,kill the bitch .
this is general ripper speaking .,yes sir .
i don t take orders at all .,this time make an exception .
i guess it was a long time ago .,come on let s get out of here .
well she s got a point .,we ll cover your escape !
hey rat .,yeah ?
it is you junior !,don t call me that please .
i cursed .,i heard .
kicker anything ?,negative .
who s that ?,it s me lothar . are you okay ?
what are you doing here ?,i heard there was a poetry reading .
well . . . thank you again .,oh yeah yeah .
no i got it . it s okay .,what happened ?
okay .,eyes closed .
no !,yes ! !
all ? it ain t bad .,no more than this ?
have you come to talk about me ?,not at all . history .
they changed franklin s portrait .,you think it s a conspiracy ?
dr . frankenstein ?,fron kon steen !
turn on your radio !,what ?
now where ?,under the stone in the floor .
oh . well . maybe not yet .,not ever . never .
how come ?,ah nothing .
easy boy . just an idea .,well thanks but forget it .
he still having parties ?,he never stopped .
cole we ve got to talk .,finally realized rick s a jerk huh ?
epps !,i heard !
uh huh .,that s funny . why is that ?
went aboard .,she take a radio ?
oh oh come on .,huh ? what d he say ?
for what he made me go through .,who ?
she can t talk to you right now .,why ?
please follow me .,you an me chief .
hi .,looks like things worked out tonight huh ?
is she bringing him to the wedding ?,what do you think ?
what s the pay ?,what s fair ?
don t let me down .,you ? ! how about me ?
i better be getting that .,duty calls ?
are we allowed to park here ?,no .
are you pretending yet ?,i m working on it .
what ?,i d go fifty fifty with you .
hmm how about tomorrow night ?,working .
i figured you might like some help .,yeah ?
who the . . .,twist of lemon !
who is it ?,the man you had the fight with .
i like to laugh fred .,that s why i married you .
this a friend of yours ?,he is now .
i don t know .,why did you with sandy ?
just until we find another girl .,cancel frank .
let her go . it s cool .,louis the house is beautiful .
yes .,as much as you used to ?
did you hear ?,yes the child . . .
you asked me not to come .,promise you won t go inside .
parents still together ?,yes .
what d you say ?,where is the subway station please .
yeah . so where s the high school ?,university and th want to carry my books ?
who s norma ?,who s who ?
right ! where is he ?,who father ?
 may i ? it s so ,please 
so what are you up to now ?,i m robbing this place .
a vacuum cleaner salesman and a fairy doctor .,a what kind of doctor ?
good !,whatcha doin over here ?
when are you leaving ?,tomorrow .
wait let me take that .,huh ?
my best friend . my very best friend .,shall i read to you ?
uh huh .,he tapped that .
no she won t .,why would you let her to do that ?
i ll talk to you later .,no no what what is it ?
i ve got the real thing !,we ve got elvis !
stay here i ll be back .,sure . i won t hold my breath .
how d you do it old man ?,someone bet me a dollar . .
doug nobody tried to kill you .,they did ! but i killed them !
if i can smoke it .,you want a muffin ?
nice to have a fire .,really . turn er up a little .
i don t call him i whistle .,what do you whistle ?
plan r ? ? ? ?,are you hard of hearing major ?
obviously .,how many ?
i m not gonna let that happen .,you still don t believe me do you ?
look he s in pretty good shape .,poor ike .
off me or off you ?,that s up to you .
probably .,i don t trust her .
no . we u all u go .,anna 
what do i do ?,follow her .
steven . . .,i m here .
good bye .,good bye .
you in trouble ?,yeah .
that s nice .,what ?
moreover . . .,what ?
that s pretty good .,i ve done much better ones than this .
nearly a year .,any attacks of pain since ?
you bet doc !,good . good .
something happened with marty and ray ,abby . . .
looking for intelligent life ?,looking for something someone .
that s what the two policemen said sir .,what two policemen ?
there s a dress code ?,what are you here for ?
what did you find ?,evidence of a massive infection .
geez you okay margie ?,i m fine it s just morning sickness .
yes . . .,i know what to do about mother .
he asked how you are .,and you said ?
have you talked to triplette ?,who the hell is he ?
i m not scared .,prove it .
what about room ?,room ?
don t you live somewhere ?,i did live there in the state hospital .
chloe s dead .,when ?
my hair is coming out .,yeah . . .
so do we go on ?,yes .
morning sheriff .,hey pete . how s it going ?
oh yes yes of course a concern .,there is something to be said for silence
you don t know anything about me !,i know enough .
like rome ?,worse .
then how come you got the fine ?,because i m here .
hi sweetie .,hi baby .
it s me .,i m kind of busy .
what are you drinking love ?,i ve forgotten .
that kid is amazing .,i don t get you bruce wayne .
am i a suspect ?,no . it would be convenient but no .
christ !,nothing at all ?
ed concannon .,frank galvin . we ve met before .
i m cool .,could i try that ?
you fired the cleaning woman ?,she was stealing .
i know . . .,good . can you bring me to him ?
to go up .,to go up .
yeah ?,it s me .
wendy ?,stan ? ! you started la resistance ?
i m so excited simon .,i guess this is a first for you .
yeah downtown .,a hotel ?
pardon ?,kathy price .
say it was a mistake .,we don t make mistakes .
who s my cream puff ?,i am .
whoa . calm down .,get out . get out ! get out !
but bob isn t real .,the pages are gone . that s real .
we should try fishing again .,you mean it ?
great scott scotty dr everett scott .,you know this earth this person .
forget about me kat .,but i love you !
jeffrey .,jeffrey . jeffrey what ?
why wouldn t i ?,i thought you were in a hurry .
 you said fuck . ,yeah i know . i did .
any more . . .,i dunno . . .
what if you miss ?,what if we don t ?
fletcher ? what are you doing out there ?,they re like pink snow sir . sticky .
who is this ?,sebastian you faggot . is she with you ?
there s more !,i think that s it .
it s getting kind of late ,are you married mr . ?
mystery . deception .,deception isn t something i personally consider sexy .
i ll go with you .,i ll just be a minute .
yo mike what s happenin here ?,it ain t your locker no more .
she s not here right now .,but she s standing right next to you .
we find that your subscription lapsed . . .,my subscription lapsed three years ago . . .
i m not pushing it .,wait . i have to write this down .
all right . here .,what . . . ?
where ?,find em !
nothing ?,nothing .
what do you mean ?,we re finished .
draw .,what s your record at ?
all right . take care of yourself .,i am .
i remember it made me sick .,what are you suggesting ?
where ?,library of congress .
i know .,you should think about this .
what ?,we re leaving .
and the party ?,yeah it ll be fun .
i guess so .,what do you think ?
no .,is that your final answer ?
i don t know who they are .,why are they after you ?
and certainly pretty .,yes .
what ?,i never knew you dad .
hell i didn t know you was married .,sure . got a sixteen year old girl .
where d you get it ?,swiped it from my mom s desk yesterday .
anything i can do back here ?,no .
if that s how you feel ,but it s not .
yeah do you know em ?,no just checking .
and i didn t like that man .,oh but he was terrific .
ok . what should i do about eric ?,just tell him to call me .
is she home ?,yeah . what ?
yeah .,what re you doin baby ?
are you okay ?,sure .
what happened ?,the power went out in half the park .
everything okay ?,yeah dad . it s great .
don t know that it does .,well then how bout maybe we call someone ?
three days .,three days ? ? ! !
then eat around it .,no .
are you all right now ?,yeah i m feelin fine .
okay .,anything you can tell me ?
don t worry honey i ll protect you .,okay .
i got a name sal boca brooklyn .,boca ?
i m looking for love,i m looking for trade
any psychiatric medication ?,no .
i am .,she knows you real self ?
you got any weed ?,you got the money ?
nope .,wanna fool around ?
it she ,what s that you re playing with boy ?
why would i let you do that ?,i know where the money is .
he s heading under !,no way ! he can t !
you think ?,is it me ?
you have an awfully nice habit sam .,hundreds ! which one is your pet ?
then what ll you do ?,sue the shit out of em .
grades ?,fine .
there they are !,hey what s that ?
yeah right .,it will not harm you .
i m sorry if we disturbed you .,i m not disturbed . by you .
they won t talk to you .,are they on the phone still ?
you could go and open the door .,listen 
well i don t know ,you ve done without it long enough ma .
mornin .,how s it going ?
assistant . and don t call me jazz .,all your friends call you jazz .
had enough ?,even the alarm didn t wake him .
about how wealthy would you say ?,i don t know .
i m late .,me too .
i need to be part of this .,absolutely not .
i d still like to see you .,why ?
kurt doesn t look too good .,remember he s left handed .
susan ?,yes ?
hey it s jessica .,that must be her boyfriend s car .
tea ?,you got wax in your ears ?
yeah .,what did he say ?
ok well travel safely . see you soon .,bye .
ted . . .,yes ?
how often you go ?,dozen times a day .
to make you feel better .,oh great . . .
what were the others ?,just the obvious stuff .
on the day i went away .,goodbye
are you sure he s dead ?,i didn t stop to take his pulse .
where do you want to go ?,take me home .
i u hate u you .,well i guess that makes us even .
mom !,what happened ? is everybody all right ? !
who are you talking to ?,to the shark .
where are you going ?,nowhere . . . .
yeah ?,what was your father s name ?
i don t know . . .,we ll need one .
sort of a jack london style ?,exactly !
it s very late .,yes exactly . exactly my point .
what journey ?,tell him ray .
good evening .,hi . you have hard shells right ?
no ! that s not terrance or phillip !,oh . . . alright back you go .
where are my cigarettes ?,where are your . . . ?
you say that like an amnesia victim .,guilty . i am .
where are we going to sleep ?,the family room .
what ?,i really gotta pee .
how did this happen ?,i guess they made him do it .
beidermeyer that s it what a mad man .,he s a great poet .
where are you going ?,i m fucking crawling out of my skin .
stop swinging the bat .,get down .
whatcha got ?,pair a nines .
can you pay some attention to me ?,oh yes .
don t take it to heart betsy .,i imagined this so differently . . .
jessica .,you re beautiful . let s have sex .
it s the next street .,i know where it is .
where you headed betty ?,los angeles california .
that s five hundred dollars .,what ?
me ?,my ankle . just go explain the situation .
sorta room mates ?,exactly room mates .
what ?,did you hear what i said ?
where are we going ?,to the hospital .
you ve got a funny idea of funny .,i ve offended you !
guard ! guard !,alamo . . .
what s a prom ?,ever go to church ?
you ve been very cold to me tonight .,no .
where ? !,way up ahead !
kid told me he didn t take it ?,maybe he s lying to you ?
just get on the bus .,i m not leaving without her .
me neither .,let the law 
you have her cell number ?,she didn t answer .
what you talking ?,you owe me six big ones .
but one must love a father .,the general you don t even know him .
 . . . sometimes they do .,yeah . . . sometimes they do .
i m sure everyone s doing their best .,yeah .
lower it !,i m trying !
stop the car !,let us out !
scully . . .,scully i found the bomb .
nothing .,you re kidding with that answer right ?
destroy the evidence ? no man !,yes man !
top dollar .,another jolly nickname ?
wait . i have to tell you something .,what ?
oh no !,they won t let you in without one .
i m supposed to be in tahoe .,your dad s really gonna build his house ?
so where is it ?,your apartment .
as in they own it ?,something like that . . .
i won t let you say that !,well i do say it .
you feel ?,yes .
elvis is on ice again .,okay .
see you at seven thirty in the lounge .,i ll be there good by .
easy enough for you .,i never killed anyone .
how would you know ?,hey two days with him is enough .
don t you love my sexy body ? !,i do baby i do .
i don t know . india maybe .,why there ?
but then came an angel who whispered these words,pay attention . . .
i can t believe this .,believe it .
you what ?,this is all terribly wrong .
i m sorry ?,i know how hard it can be sometimes .
no ! ! !, . . .for christmas . . .
they both look good to me .,you have no taste .
thank you .,thank you .
mr . abraham . . .,abrams . . .
fuck you !,get in here goddammit !
what ?,you re lying .
that s not the point .,what s the point ?
they moved you from the diplomat ?,promoted . house manager .
scotch please .,piss off ray .
no .,what s the matter ?
nobody move .,but she s 
me neither . how far is rancho cucamonga ?,i don t know .
 love will find out the way ., love will find out the way ?
what is it you got between you ?,i don t know .
will you come with me ?,of course . when ?
you want my advice ?,oh yes please .
they did ?,a lady . she died .
because i wanted to .,but why did you want to ?
get away from her .,excuse 
what happened ?,what time is it ?
shoot .,a million flat .
are you serious ?,forget it . it doesn t matter .
why do you keep saying that ?,do you know what a vampire king is ?
maybe he won t get up .,but if he does joe 
how s she doing ?,okay . she s fine .
hi there .,you remember me ?
what is it drugs ?,better than drugs .
eric told me of your bereavement .,yep .
yeah just put their bill on my tab .,really ?
what do we have that they want ?, freedom . 
master safety .,master kong .
i know . it s terrible !,i mean i ve looked everywhere .
i m here .,you treat her nice .
here i am .,guess we better get going huh ?
sister older or younger ?,younger .
what did you want to happen ?,i don t know !
i m sorry ?,how will i know what she requires ?
before what ?,before bill came to hollywood .
the gentleman who came to the door , is not my boyfriend .
have you talked to cotton ?,many times .
i wish i d been there .,would of been nice .
rachel come on .,no .
i called my wife !,what d i tell you ?
well enough .,that s not an answer .
what ?,what are you doing ?
whose ?,hal phillip walker .
oh hannah !,it s uh you never know 
are you sure ?,i m sure .
ya say we re acrost ?,look ma !
what s up ?,he wants to see us now .
neil thank you for your help .,anytime .
you saved the ship .,i m aware of that sir .
 tis but a scratch .,a scratch ? your arm s off .
eleven .,damn . and wainwright . . . 
just lenny .,right . that explains it .
not enough loving .,get out of here !
i m here .,bill ! bill ? !
did you like school creasy ?,no .
what do you want ?,come on . let s get a drink .
more important than what is when ?,when ?
we just live one flight up .,so i ll call you tomorrow .
hello .,i thought you had play practice .
no .,come on .
yes . might as well all of it .,yes sir .
listen man i think i have a problem .,we all have problems .
okay . how d yours go ?,not so good .
why ?,just look . little pocket .
it s magic ., what magic ? 
do you love me ?,i asked first .
what ?,nothing .
well except for the one girl .,what girl ?
where you signed this ?,that s right .
when s the audition ?,a couple of weeks .
yeah .,so how s the cat food business ?
is uh jefferson smith at home ?,certainly . step right in .
i m here .,i know a lot of nice girls .
i m afraid not .,that s too bad .
we ll send a squad up .,no need everything s under control .
you still mad at m ?,he died a long time ago .
would you like your things now ?,yeah !
um five .,one hour per man .
well how about a walk charlie bell . .,how d you know about that ?
what about money ?,what about it ?
you re naked .,it s my house .
it s got a bottom .,guess we know what the next stop is .
is she against you getting help ?,we don t discuss it .
what ?,you re damaged .
how do you know that ?,she s already on a plane back home .
he ll kill us .,are you positive he knows ?
dr . carlson s dead ?,an explosion just like paul s .
better that way . . . for me .,why ?
hi walter .,carla . . .
think about it . . .,what the fuck is wrong with you ?
how did you know ?,what s his real name ?
you know what i said though .,i can t barry . . .
howard ,i forgot my glasses .
what ?,your mom made a move on me .
 . . .to dorothy !,oh 
well i made it through another night .,how s your hip ?
well thanks .,well take care .
you came to take my wife from me ?,i came to kill her .
didn t i say that ?,yes and no . . .
when was this ?,this afternoon about four five o clock .
how is he ?,ten hours straight . he s a machine .
let s go !,go .
what ?,she went to medical school in california .
what ? !,don t lie to me !
gloria may i call you gloria ?,why why of course .
no . just the cross streets .,well this is the corner .
 i can t make new memories . everything,
stuck with what guy ?,what ?
what s funny ?,morpheus . he almost had me convinced .
okay now . but ,wait two seconds then go .
peter you re bleeding .,it s fine . tell me what 
how s sleeping beauty ?,still sleeping .
have you got a match on the bullet ?,no .
you were in here last thursday night .,what ?
is that bee bee ?,come on !
you sure ?,i would .
would you do me a favor ?,what is it ?
who ?,i don t know .
fine then we don t have deal .,fine then we don t have a deal .
orthopedics ?,i m just an m .d .
having a good time vivian ?,yeah . thanks .
sure i am . it s fun .,mm . and your like what else ?
you got some nerve .,what do you mean ?
nicky comes on sunday s .,where are your glasses ? go get them .
you mean alex .,i mean lauren .
what ?,that s how long you were gone .
there s been some trouble downtown .,what kind ?
lower .,lower .
she asked about you madmartigan .,well what did she say ?
mm .,you re going back ?
sugar ?,yes one please .
are you alright ?,i ll live . . .
yes i do .,do you want to become one ?
a phone message . only ,only what ?
one is in a museum !,dr . zira ! silence that man !
do you recognize this young man ?,nope . is there a prob . . .
no .,you re not ?
maybe he just travels in bad company .,yeah 
what s that mean ?,we did not leave together .
what color ?,red .
when will this happen ?,soon . time is almost up .
really ? please ?,you have trouble financial trouble ?
what with ?,just keep me covered .
do you ?,of course .
what are you having ?,iced tea .
i swear ,swear on jimmy s grave .
what a cozy little scene .,kill them ! kill them !
good evening mr . dewitt .,i had no idea you knew each other .
roger ?,yeah .
martins .,coming to the point please .
right .,isn t that french for something ?
what ?,nothing .
you didn t know about it before that ?,no .
 my god ., do i know you ?
well obviously we got to go back .,bob that makes no sense .
but i do .,why ?
one sixth the speed of sound !,yes sir .
how do i look ?,like shit .
with those camera lights and . . .,he s going with you doctor .
our field .,what does he know about it ?
too late .,what ?
why not ?,now you want an argument .
this is not very good is it ?,no .
he needed some clothes .,twenty five thousand for clothes .
no ?,absolutely not .
what is it ?,ship s log .
no she asked me about cocaine .,i suggest it never happened .
oh waski you don t know anything .,i do too !
how nice .,all right we ll take jeff with us 
we ll dance .,all right . we ll dance .
thanks walter .,what s that on your forehead pal ?
when ?,before i get off work .
how do you want that cooked ?,medium rare please .
i m doing great . you ready ?,i am this is it . b day .
